Staircase.thisTrialN,Staircase.stepSize,Staircase.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,Staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,18.735101800062694,19.292545199976303,19.292545199976303,19.31088170001749,19.59419540001545,right,10.0,1,1,893.5173305999488,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
1,2,8.0,20.325994300073944,20.826743700075895,20.826743700075895,20.826743700075895,21.12738099996932,left,-8.0,1,1,895.4468687998597,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
2,1,6.0,23.794163100072183,24.29316480003763,24.29316480003763,24.308912600041367,24.592001200071536,left,-6.0,0,0,900.6719151998404,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
3,1,7.0,32.47410580003634,32.97455360007007,32.97455360007007,32.97455360007007,33.273950900067575,left,-7.0,1,1,904.8235902999295,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
4,1,7.0,45.304287099977955,45.78862400003709,45.78862400003709,45.8044632000383,46.10452140006237,left,-7.0,0,0,893.5427027998958,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
5,1,8.0,46.837674600072205,47.3374283000594,47.3374283000594,47.3374283000594,47.637326600030065,right,8.0,0,0,896.3599105998874,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
6,1,9.0,51.20282220002264,51.70208870002534,51.70208870002534,51.70208870002534,52.00306860008277,right,9.0,0,0,892.8775968998671,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
7,1,10.0,52.08539869997185,52.5854281000793,52.5854281000793,52.5854281000793,52.88510329998098,left,-10.0,0,0,893.3940414999379,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
8,1,11.0,53.486211200011894,53.984082799986936,53.984082799986936,53.984082799986936,54.28609230008442,left,-11.0,0,0,917.1227754999418,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
9,1,12.0,78.61271540005691,79.11324169998989,79.11324169998989,79.11324169998989,79.42966430005617,right,12.0,1,1,897.9589394999202,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
10,1,12.0,84.5774011000758,85.07793630007654,85.07793630007654,85.07793630007654,85.37754100002348,left,-12.0,0,0,897.6429718999425,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
11,1,13.0,90.22675130004063,90.72664210002404,90.72664210002404,90.72664210002404,,left,-13.0,0,0,892.5448896999005,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
12,1,14.0,90.77634780004155,91.2770580999786,91.2770580999786,91.2770580999786,,right,14.0,1,1,892.5609160999302,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
13,1,14.0,91.36020600004122,91.85912460007239,91.85912460007239,91.85912460007239,92.1590436999686,right,14.0,1,1,892.927374899853,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
14,1,14.0,92.29232230002526,92.79264300002251,92.79264300002251,92.79264300002251,93.09249519999139,left,-14.0,0,0,894.2434081999818,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
15,1,15.0,94.5417274000356,95.04246230004355,95.04246230004355,95.04246230004355,95.3420948999701,right,15.0,0,0,893.1106841999572,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
16,1,16.0,95.65793620003387,96.15881970000919,96.15881970000919,96.15881970000919,96.45831390004605,right,16.0,0,0,893.6760312998667,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
17,1,17.0,97.34183240006678,97.84147880005185,97.84147880005185,97.84147880005185,98.14147160004359,left,-17.0,1,1,892.8490392998792,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
18,1,17.0,98.20857270003762,98.7076737000607,98.7076737000607,98.7076737000607,99.00726250000298,right,17.0,0,0,893.7045254999539,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
19,1,18.0,99.92472520004958,100.42418490001,100.42418490001,100.42418490001,100.72456570004579,right,18.0,1,1,894.1936138998717,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
20,1,18.0,102.12365660001524,102.62430829997174,102.62430829997174,102.62430829997174,102.93969949998427,left,-18.0,1,1,893.1582958998624,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
21,1,18.0,103.29071640002076,103.79010990005918,103.79010990005918,103.79010990005918,104.0897888999898,left,-18.0,1,1,893.2038461999036,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
22,1,17.0,104.50613120000344,105.00674230000004,105.00674230000004,105.00674230000004,105.30572820000816,right,17.0,1,1,892.9932453999063,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
23,1,17.0,105.50584820006043,106.00648960005492,106.00648960005492,106.00648960005492,106.30657949997112,left,-17.0,1,1,893.7035297999391,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
24,0.5,17.0,107.22186879999936,107.70645709999371,107.70645709999371,107.72224110004026,,right,17.0,0,0,892.5930882998509,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
25,0.5,17.5,107.80531560000964,108.30654200003482,108.30654200003482,108.30654200003482,108.60549650003668,left,-17.5,1,1,893.5908316998975,972024,001,2023-09-01_11h57.17.531,Staircase 01-09-23,2023.1.3,60.080808701508644,
